id,created_at,clean_text,polarity,subjectivity,lang,followers_count,friends_count,favourites_count
1405949036583014402,2021-06-18 18:02:26+00:00,rt  telglobalhealth   africa is in the midst of a full blown third wave    moetitshidi said   the sobering trajectory of surging cases shou…,0.0,0.0,en,125,207,10731
1405949037354827778,2021-06-18 18:02:26+00:00,rt  billius27  precisely  time to stop compromising health safety   ,0.4,0.8,en,350,612,59143
1405949039049277443,2021-06-18 18:02:26+00:00,rt  cdcdirector  i’m pleased to welcome the  wecandothis bus to atlanta today  remember  there are 3 easy ways to find a  covid19 vaccine n…,0.6444444444444445,0.9111111111111111,en,167,758,5469
1405949045118492673,2021-06-18 18:02:28+00:00,rt  itranslate123   aipac will aipac tell the world that israel has sold expired vaccines to palestinians  which could have been disastrous…,0.0,0.0,en,401,2200,2428
1405949045667860483,2021-06-18 18:02:28+00:00,rt  governmentza   watch  how do vaccines work in our bodies  and how do they protect us   covid19  vaccinatetosavesouthafrica  …,-0.75,1.0,en,129,2220,3729
1405949087892094979,2021-06-18 18:02:38+00:00,rt  healthza  18 june 2022 latest number of  covid19 statistics in south africa  coronavirussa                               …,0.5,0.9,en,28,102,2145
1405949093784997894,2021-06-18 18:02:39+00:00,"rt  nathanstall  👇👇👇

 people are free to believe that  covid19 is a hoax  and to argue that vaccines are a plot   but there is no constitu…",0.4,0.8,en,252,235,255
1405949107168944130,2021-06-18 18:02:43+00:00," can i be fired if i don’t get vaccinated   

 can i ask my employee to get vaccinated   

these were some question…  ",0.0,0.0,en,48404,10696,37341
1405949121215795200,2021-06-18 18:02:46+00:00," vaccines4nepal  covid19  vaccinequity please 🙏
nepal in desperate need of covid 19 vaccines  health official warns…  ",-0.6,1.0,en,38,93,1010
1405949131357519875,2021-06-18 18:02:48+00:00,"rt  amitaryamd  list of vaccines which don t work against  covid19 variants after 2 doses 

1 
2 
3  
4  

please   go and get vaccinated  💉",0.0,0.0,en,1151,1140,53205
1405949134209683456,2021-06-18 18:02:49+00:00,covid 19 vaccines have been deemed safe for  ibd patients according to a recent study by  ibdcedarssinai published…  ,0.25,0.375,en,371,193,464
1405949149133119492,2021-06-18 18:02:53+00:00,rt  winnie byanyima  we are dying  ugandans need the world to stand with them  we need oxygen  ppes   covid19 vaccines and money to pay our…,0.0,0.0,en,621,723,430
1405949156783497228,2021-06-18 18:02:54+00:00,rt  telglobalhealth   africa is in the midst of a full blown third wave    moetitshidi said   the sobering trajectory of surging cases shou…,0.0,0.0,en,118,420,94017
